"age","sex","age5_str","cw","co","age5_start","mx","qx","lx","dx","ex","tto","dsu_2014"
83,"male","80-84",0.772772080477255,0.766707265436998,80,0.076235,0.073435,49716.9,3651,6.95,0.809178318824506,0.7675
84,"female","80-84",0.717231239066706,0.709784770509061,80,0.064521,0.062504,58718.1,3670.1,7.46,0.70172281327388,0.7045
84,"male","80-84",0.772772080477255,0.766707265436998,80,0.087106,0.083471,46065.9,3845.2,6.46,0.809178318824506,0.7634
85,"female","85-89",0.665353265376341,0.665527798477831,85,0.074049,0.071406,55047.9,3930.7,6.92,0.651909890832126,0.6983
85,"male","85-89",0.717647853751886,0.726701610743621,85,0.09777,0.093214,42220.8,3935.5,6,0.730385898254718,0.7592
86,"female","85-89",0.665353265376341,0.665527798477831,85,0.085076,0.081605,51117.2,4171.4,6.41,0.651909890832126,0.692
86,"male","85-89",0.717647853751886,0.726701610743621,85,0.111136,0.105286,38285.2,4030.9,5.57,0.730385898254718,0.755
87,"female","85-89",0.665353265376341,0.665527798477831,85,0.096453,0.092016,46945.8,4319.7,5.94,0.651909890832126,0.6855
87,"male","85-89",0.717647853751886,0.726701610743621,85,0.124636,0.117324,34254.4,4018.9,5.17,0.730385898254718,0.7508
88,"female","85-89",0.665353265376341,0.665527798477831,85,0.110923,0.105094,42626.1,4479.8,5.49,0.651909890832126,0.6789
88,"male","85-89",0.717647853751886,0.726701610743621,85,0.141065,0.131771,30235.5,3984.2,4.79,0.730385898254718,0.7466
89,"female","85-89",0.665353265376341,0.665527798477831,85,0.124474,0.117181,38146.3,4470,5.08,0.651909890832126,0.6723
89,"male","85-89",0.717647853751886,0.726701610743621,85,0.160029,0.148173,26251.3,3889.7,4.44,0.730385898254718,0.7424
9,"female","16-17",0.880881396147728,0.877652281742187,16,5.6e-05,5.6e-05,99563.9,5.6,74.69,0.90377268173794,0.9103
9,"male","16-17",0.915652209483253,0.917965536040096,16,6.2e-05,6.2e-05,99481.1,6.2,71.09,0.94760401074775,0.9446
90,"female","90+",0.66505869837287,0.665657184113675,90,0.140894,0.131622,33676.3,4432.5,4.68,0.664475558184715,0.6655
90,"male","90+",0.662800654452411,0.655816057510311,90,0.171303,0.157788,22361.6,3528.4,4.12,0.708409650215048,0.7381
91,"female","90+",0.66505869837287,0.665657184113675,90,0.159746,0.14793,29243.8,4326,4.32,0.664475558184715,0.6587
91,"male","90+",0.662800654452411,0.655816057510311,90,0.194057,0.176893,18833.2,3331.5,3.8,0.708409650215048,0.7338
92,"female","90+",0.66505869837287,0.665657184113675,90,0.18005,0.165179,24917.7,4115.9,3.98,0.664475558184715,0.6517
92,"male","90+",0.662800654452411,0.655816057510311,90,0.215207,0.1943,15501.7,3012,3.51,0.708409650215048,0.7295
93,"female","90+",0.66505869837287,0.665657184113675,90,0.201066,0.182699,20801.8,3800.5,3.67,0.664475558184715,0.6447
93,"male","90+",0.662800654452411,0.655816057510311,90,0.239683,0.214033,12489.8,2673.2,3.23,0.708409650215048,0.7252
94,"female","90+",0.66505869837287,0.665657184113675,90,0.226271,0.203273,17001.4,3455.9,3.38,0.664475558184715,0.6376
94,"male","90+",0.662800654452411,0.655816057510311,90,0.268883,0.237018,9816.5,2326.7,2.98,0.708409650215048,0.7208
95,"female","90+",0.66505869837287,0.665657184113675,90,0.255483,0.226544,13545.4,3068.6,3.11,0.664475558184715,0.6304
95,"male","90+",0.662800654452411,0.655816057510311,90,0.301158,0.261745,7489.8,1960.4,2.75,0.708409650215048,0.7165
96,"female","90+",0.66505869837287,0.665657184113675,90,0.286263,0.25042,10476.8,2623.6,2.88,0.664475558184715,0.6231
96,"male","90+",0.662800654452411,0.655816057510311,90,0.339814,0.290462,5529.4,1606.1,2.55,0.708409650215048,0.7121
97,"female","90+",0.66505869837287,0.665657184113675,90,0.308323,0.26714,7853.2,2097.9,2.67,0.664475558184715,0.6158
97,"male","90+",0.662800654452411,0.655816057510311,90,0.360074,0.305138,3923.3,1197.2,2.38,0.708409650215048,0.7077
98,"female","90+",0.66505869837287,0.665657184113675,90,0.343826,0.293389,5755.3,1688.5,2.47,0.664475558184715,0.6084
98,"male","90+",0.662800654452411,0.655816057510311,90,0.390059,0.326401,2726.2,889.8,2.21,0.708409650215048,0.7033
99,"female","90+",0.66505869837287,0.665657184113675,90,0.373434,0.314678,4066.8,1279.7,2.28,0.664475558184715,0.6009
99,"male","90+",0.662800654452411,0.655816057510311,90,0.45198,0.368665,1836.3,677,2.04,0.708409650215048,0.699
