"X_Y5_1","X_Y5_2","X_Y5_3","X_Y5_4","X_Y5_5","X_age5grp","X_male","X_U5UK","Output","Domain","X_age","X_U5"
1,2,2,5,1,"18-34",1,0.565,0.63958385851686,"12251",1,0.565
1,2,2,5,2,"18-34",1,0.487,0.599179046887958,"12252",1,0.487
1,2,2,5,3,"18-34",1,0.461,0.544499090803551,"12253",1,0.461
1,2,2,5,4,"18-34",1,0.28,0.338976736138538,"12254",1,0.28
1,2,2,5,5,"18-34",1,0.276,0.160680066323064,"12255",1,0.276
1,2,3,1,1,"18-34",1,0.887,0.761477604793608,"12311",1,0.887
1,2,3,1,2,"18-34",1,0.809,0.719448305765634,"12312",1,0.809
1,2,3,1,3,"18-34",1,0.783,0.661751624566799,"12313",1,0.783
1,2,3,1,4,"18-34",1,0.602,0.453500591562285,"12314",1,0.602
1,2,3,1,5,"18-34",1,0.598,0.267209726796287,"12315",1,0.598
1,2,3,2,1,"18-34",1,0.824,0.697742469029175,"12321",1,0.824
1,2,3,2,2,"18-34",1,0.746,0.658814207668295,"12322",1,0.746
1,2,3,2,3,"18-34",1,0.72,0.608707701491086,"12323",1,0.72
1,2,3,2,4,"18-34",1,0.539,0.402700139166728,"12324",1,0.539
1,2,3,2,5,"18-34",1,0.535,0.21959917522545,"12325",1,0.535
1,2,3,3,1,"18-34",1,0.803,0.624881146779682,"12331",1,0.803
1,2,3,3,2,"18-34",1,0.725,0.587643633275791,"12332",1,0.725
1,2,3,3,3,"18-34",1,0.699,0.533573127643158,"12333",1,0.699
1,2,3,3,4,"18-34",1,0.518,0.343200132508214,"12334",1,0.518
1,2,3,3,5,"18-34",1,0.514,0.168147364205968,"12335",1,0.514
1,2,3,4,1,"18-34",1,0.611,0.46927332418729,"12341",1,0.611
1,2,3,4,2,"18-34",1,0.533,0.43341388639408,"12342",1,0.533
1,2,3,4,3,"18-34",1,0.507,0.382350409970895,"12343",1,0.507
1,2,3,4,4,"18-34",1,0.326,0.22724665920638,"12344",1,0.326
1,2,3,4,5,"18-34",1,0.322,0.0834775374776146,"12345",1,0.322
1,2,3,5,1,"18-34",1,0.552,0.457638944785505,"12351",1,0.552
1,2,3,5,2,"18-34",1,0.474,0.420801444638314,"12352",1,0.474
1,2,3,5,3,"18-34",1,0.448,0.351598954568629,"12353",1,0.448
1,2,3,5,4,"18-34",1,0.267,0.191566511551813,"12354",1,0.267
1,2,3,5,5,"18-34",1,0.263,0.0505790419464355,"12355",1,0.263
1,2,4,1,1,"18-34",1,0.788,0.748617466687844,"12411",1,0.788
1,2,4,1,2,"18-34",1,0.71,0.698394783477374,"12412",1,0.71
1,2,4,1,3,"18-34",1,0.684,0.625101080344104,"12413",1,0.684
1,2,4,1,4,"18-34",1,0.503,0.424552660421198,"12414",1,0.503
1,2,4,1,5,"18-34",1,0.499,0.245372457564541,"12415",1,0.499
1,2,4,2,1,"18-34",1,0.725,0.68701825248372,"12421",1,0.725
1,2,4,2,2,"18-34",1,0.647,0.645674108105488,"12422",1,0.647
1,2,4,2,3,"18-34",1,0.621,0.587794931553245,"12423",1,0.621
1,2,4,2,4,"18-34",1,0.44,0.389511891752556,"12424",1,0.44
1,2,4,2,5,"18-34",1,0.436,0.209921516210887,"12425",1,0.436
